PooledFundId,AllocationYear,ReportApprovedDate,AllocationTypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
15,2015,2016-05-26,7,2,3,73348.5,,,,,,,,
15,2015,2016-05-26,8,2,1,217821.78,5000.0,8950.0,5760.0,6000.0,5000.0,8950.0,5760.0,6000.0
15,2015,2016-06-02,8,2,4,174329.81,164.0,1840.0,480.0,516.0,5996.0,10244.0,3249.0,5496.0
15,2015,2016-06-02,8,2,7,582920.63,68810.0,93701.0,54022.0,57707.0,57488.0,74341.0,53159.0,56547.0
15,2015,2016-06-06,7,2,9,187250.0,,,,,,,,
15,2015,2016-06-06,8,2,9,1567923.09,118876.0,132631.0,92390.0,101634.0,113337.0,205711.0,94394.0,103494.0
15,2015,2016-06-06,8,2,11,792679.89,182112.0,271088.0,69743.0,104771.0,179036.0,259830.0,68760.0,107344.0
15,2015,2016-06-06,9,1,9,160500.0,,575.0,5462.0,5463.0,,558.0,5610.0,5390.0
15,2015,2016-06-12,7,2,9,1023000.25,,12280.0,6140.0,6140.0,,,7967.0,7967.0
15,2015,2016-06-12,8,2,9,129472.33,12041.0,14717.0,3597.0,4396.0,1886.0,5286.0,4096.0,5005.0
15,2015,2016-06-15,7,2,7,167856.25,1793683.0,1868684.0,402774.0,434859.0,1793683.0,1868684.0,402774.0,434859.0
15,2015,2016-06-15,8,2,6,477584.14,17891.0,20659.0,6206.0,7144.0,11515.0,12380.0,1545.0,1850.0
15,2015,2016-06-15,8,2,10,353524.61,12074.0,18571.0,4950.0,5900.0,5335.0,8675.0,1502.0,1752.0
15,2015,2016-06-16,8,2,1,345994.43,6534.0,7632.0,4763.0,5009.0,4571.0,6367.0,5798.0,6020.0
15,2015,2016-06-16,8,2,10,336648.75,3380.0,4106.0,11506.0,12558.0,3155.0,4110.0,9350.0,10295.0
15,2015,2016-06-16,9,1,10,200000.0,5120.0,5120.0,4280.0,4526.0,7662.0,8994.0,8319.0,10189.0
