PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
15,2015,2016-08-28,7,2,75321.62,178897.0,178897.0,178897.0,178897.0,178897.0,178897.0,178897.0,178897.0,,,,,,,,
15,2015,2016-08-28,8,2,69306.72,1470.0,2686.0,1200.0,1200.0,1547.0,4629.0,4356.0,4010.0,,,,,,,,
15,2015,2016-08-30,8,2,128712.87,1000.0,1500.0,800.0,1200.0,900.0,1600.0,800.0,1200.0,,,,,,,,
15,2015,2016-10-03,9,1,374015.5,134563.0,151695.0,201486.0,227169.0,315536.0,341956.0,230450.0,249657.0,,,,,,,,
15,2015,2016-10-03,11,2,1592009.24,,,2374681.0,2471606.0,,,2378922.0,2476021.0,,,,,,,,
15,2015,2016-10-04,8,2,198020.09,8400.0,9240.0,11340.0,13020.0,8920.0,9812.0,12042.0,13826.0,,,,,,,,
15,2015,2016-10-05,8,2,678391.69,30012.0,41482.0,27187.0,40430.0,29501.0,40932.0,27413.0,40031.0,,,,,,,,
15,2015,2016-10-09,8,2,244077.7,55122.0,81900.0,18800.0,27590.0,34852.0,94661.0,17157.0,37410.0,,,,,,,,
15,2015,2016-11-14,8,2,561929.5,596.0,1571.0,2412.0,3132.0,142.0,145.0,3928.0,5016.0,,,,,,,,
15,2015,2016-11-28,11,2,181633.1,1422.0,1631.0,509.0,553.0,1422.0,1631.0,509.0,553.0,,,,,,,,
15,2015,2016-12-01,8,2,229929.15,,1227.0,4539.0,5546.0,,369.0,3943.0,4151.0,,,,,,,,
15,2015,2017-01-08,8,2,277169.38,438.0,545.0,748.0,804.0,310.0,743.0,615.0,775.0,,,,,,,,
15,2015,2017-01-08,11,2,443900.2,,,2300.0,2300.0,,,2300.0,2300.0,,,,,,,,
15,2015,2017-01-31,11,2,696917.75,19200.0,30400.0,51200.0,59200.0,18073.0,35252.0,54219.0,55863.0,,,,,,,,
15,2015,2017-02-01,11,2,315028.0,,,1668.0,2033.0,,,1568.0,1738.0,,,,,,,,
15,2015,2017-02-05,11,2,317674.23,7052.0,25934.0,18920.0,20384.0,16697.0,23912.0,21125.0,19814.0,,,,,,,,
15,2015,2017-02-07,11,2,1200000.04,41777.0,43483.0,18270.0,18270.0,44600.0,49630.0,20680.0,20270.0,,,,,,,,
15,2015,2017-02-12,8,2,428858.65,23602.0,20888.0,20129.0,18802.0,30971.0,28801.0,32852.0,31410.0,,,,,,,,
15,2015,2017-02-12,11,2,484575.18,103456.0,155375.0,87062.0,128878.0,102856.0,154275.0,86262.0,128078.0,,,,,,,,
15,2015,2017-02-13,8,2,341206.95,154000.0,126000.0,64800.0,55200.0,93269.0,146040.0,173529.0,187910.0,,,,,,,,
15,2015,2017-02-13,11,2,1206949.63,20113.0,45247.0,26301.0,31938.0,43511.0,68611.0,63980.0,69180.0,,,,,,,,
15,2015,2017-02-15,11,2,182160.65,2000.0,2500.0,1700.0,1300.0,2600.0,2500.0,1580.0,1420.0,,,,,,,,
15,2015,2017-02-16,11,2,1652185.02,36334.0,102080.0,52176.0,52993.0,48317.0,88843.0,66922.0,65988.0,,,,,,,,
15,2015,2017-02-19,8,2,73536.0,525.0,6325.0,300.0,400.0,600.0,7000.0,350.0,450.0,,,,,,,,
15,2015,2017-02-19,11,2,513807.36,17628.0,31934.0,8428.0,9658.0,18503.0,30828.0,11584.0,12753.0,,,,,,,,
15,2015,2017-03-07,11,2,198087.03,30.0,15.0,1000.0,950.0,20.0,25.0,1100.0,905.0,,,,,,,,
15,2015,2017-03-09,11,2,320955.92,950.0,1780.0,2230.0,1795.0,914.0,1405.0,2138.0,1402.0,,,,,,,,
15,2015,2017-03-12,8,2,396026.69,280.0,280.0,2873.0,3570.0,368.0,348.0,4397.0,2704.0,,,,,,,,
15,2015,2017-03-15,11,2,369997.03,19001.0,34383.0,18178.0,18920.0,19428.0,35023.0,18320.0,19133.0,,,,,,,,
15,2015,2017-04-05,11,2,724999.9,820.0,11631.0,2160.0,2879.0,700.0,19970.0,1260.0,5050.0,,,,,,,,
15,2015,2017-04-10,9,1,829084.15,117130.0,121910.0,126890.0,132070.0,116663.0,119097.0,122717.0,122523.0,,,,,,,,
15,2015,2017-04-24,8,2,792080.02,220.0,222.0,6734.0,6121.0,314.0,121.0,7363.0,7362.0,,,,,,,,
15,2015,2017-04-24,11,2,691562.72,791.0,790.0,8095.0,8173.0,650.0,694.0,12648.0,12267.0,,,,,,,,
15,2015,2017-05-02,11,2,474980.49,29096.0,33946.0,30309.0,27884.0,29125.0,33896.0,30267.0,27749.0,,,,,,,,
15,2015,2017-05-28,11,2,150016.01,80.0,96.0,137.0,140.0,100.0,230.0,708.0,614.0,,,,,,,,
15,2015,2017-06-06,11,2,148113.08,1176.0,1905.0,2681.0,2813.0,1467.0,1905.0,2903.0,2915.0,,,,,,,,
15,2015,2017-10-09,11,2,440199.07,11436.0,12523.0,14703.0,15788.0,12821.0,14042.0,16484.0,17705.0,,,,,,,,
15,2015,2017-10-17,11,2,650000.0,5145.0,6143.0,2205.0,2632.0,7100.0,7477.0,3043.0,3205.0,,,,,,,,
15,2015,2017-10-18,11,2,379026.55000000005,6304.0,10060.0,5900.0,7100.0,6306.0,10060.0,4450.0,5050.0,,,,,,,,
