LocationID,Location,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude
9734, Idleb > Harim > Kafr Takharim > Kafr Mars,Idleb,35.929008,36.635276
9735, Idleb > Harim > Kafr Takharim > Kuku - Ein Eljaj,Idleb,35.929008,36.635276
9736, Idleb > Harim > Kafr Takharim > Taltita,Idleb,35.929008,36.635276
9737, Aleppo > Afrin > Afrin > Bablit,Aleppo,36.206013,37.15242
9738, Aleppo > Afrin > Afrin > Kawkabeh,Aleppo,36.206013,37.15242
9739, Aleppo > A'zaz > Aghtrin > Qaar Kalbein,Aleppo,36.206013,37.15242
9740, Aleppo > A'zaz > Suran > Kafra,Aleppo,36.206013,37.15242
9741, Aleppo > Al Bab > A'rima > Jeb Eldam Elbab,Aleppo,36.206013,37.15242
9742, Aleppo > Al Bab > A'rima > Shweiha,Aleppo,36.206013,37.15242
9743, Aleppo > Al Bab > Al Bab > Sheikh Jarrah,Aleppo,36.206013,37.15242
9744, Aleppo > Al Bab > A'rima > Mseibin(Al-Bab),Aleppo,36.206013,37.15242
9745, Aleppo > Al Bab > A'rima > Tabjaq,Aleppo,36.206013,37.15242
9746, Aleppo > A'zaz > Suran > Baraghideh,Aleppo,36.206013,37.15242
9747, Aleppo > Al Bab > Al Bab > Al Azraq,Aleppo,36.206013,37.15242
9748, Idleb > Jisr-Ash-Shugur > Janudiyeh > Al Marjeh,Idleb,35.929008,36.635276
9749, Idleb > Al Ma'ra,Idleb,35.929008,36.635276
9750, Idleb > Ariha,Idleb,35.929008,36.635276
9751, Idleb > Harim,Idleb,35.929008,36.635276
9752, Idleb > Jisr-Ash-Shugur,Idleb,35.929008,36.635276
9753, Idleb > Idleb,Idleb,35.929008,36.635276
9754, Aleppo > A'zaz > Mare' > Alsayed Ali,Aleppo,36.206013,37.15242
9755, Aleppo > A'zaz > Mare' > Asanbal,Aleppo,36.206013,37.15242
9756, Aleppo > A'zaz > Mare' > Hiwar Elnahr,Aleppo,36.206013,37.15242
9757, Aleppo > A'zaz > Mare' > Kafr Elward,Aleppo,36.206013,37.15242
9758, Aleppo > A'zaz > Mare' > Tal Maled,Aleppo,36.206013,37.15242
9759, Aleppo > A'zaz > Mare' > Sandaf,Aleppo,36.206013,37.15242
9760, Aleppo > A'zaz > Mare' > Tlaline,Aleppo,36.206013,37.15242
9761, Aleppo > Al Bab > Ar-Ra'ee > Az Zahrah,Aleppo,36.206013,37.15242
9762, Aleppo > Al Bab > Ar-Ra'ee > Hleisa,Aleppo,36.206013,37.15242
9763, Aleppo > Al Bab > Ar-Ra'ee > Waqf,Aleppo,36.206013,37.15242
9764, Aleppo > Al Bab > Ar-Ra'ee > Zalaf,Aleppo,36.206013,37.15242
9765, Aleppo > Al Bab > A'rima > Jurneyyeh,Aleppo,36.206013,37.15242
9766, Idleb > Ariha > Mhambal > Bales,Idleb,35.929008,36.635276
9767, Aleppo > Jarablus > Jarablus > Thahr Elmaghayer,Aleppo,36.206013,37.15242
9768, Aleppo > Jarablus > Jarablus > Maghayer - Qorq Mghar,Aleppo,36.206013,37.15242
9769, Aleppo > Jarablus > Jarablus > Jamel,Aleppo,36.206013,37.15242
9770, Aleppo > Jarablus > Jarablus > Upper Um Rotha,Aleppo,36.206013,37.15242
9771, Aleppo > Jarablus > Jarablus > Sreisat,Aleppo,36.206013,37.15242
9772, Aleppo > Afrin > Jandairis > Zanda,Aleppo,36.206013,37.15242
9773, Aleppo > Afrin > Jandairis > Bayada - Jendris,Aleppo,36.206013,37.15242
9774, Aleppo > Afrin > Jandairis > Deir Ballut,Aleppo,36.206013,37.15242
9775, Aleppo > Afrin > Jandairis > Haj Eskandar,Aleppo,36.206013,37.15242
9776, Aleppo > Afrin > Raju > Almadar,Aleppo,36.206013,37.15242
