PooledFundName,PooledFundId,FiscalYear,DonorName,DonorCode,GMSDonorId,GMSDonorName,ContributionAmt,ContributionPercent
Ethiopia,53,2025,Sida,20,22,Sweden,2485694.21,0.22000
Syria,62,2023,Government of Belgium,4,6,Belgium,8618476.42,1.14000
Ethiopia,53,2008,Government of Netherlands,11,16,Netherlands,25675584.00,2.29000
Yemen,64,2021,Greece,53,53,Greece,35799.52,0.00000
Ukraine,81,2019,Government of Luxembourg,10,15,Luxembourg,388888.89,0.03000
Lebanon,71,2024,Government of France,50,50,France,1071811.36,0.34000
Jordan,73,2021,Government of Italy,9,14,Italy,582750.58,0.89000
South Sudan,19,2023,Government of Canada,119,7,Canada,3333391.97,0.27000
Pakistan,60,2016,Government of the United Kingdom (Former DFID),19,9,United Kingdom,2840909.09,2.67000
Lebanon,71,2024,Government of Norway,12,17,Norway,912663.56,0.29000
Myanmar,59,2017,Government of Canada,119,7,Canada,374939.09,0.09000
Myanmar,59,2019,Government of Germany,7,11,Germany,1668524.71,0.41000
Sudan,15,2025,Kuwait,64,64,Kuwait,1500000.00,0.09000
Lebanon,71,2024,Government of Denmark,5,8,Denmark,7878244.80,2.48000
Venezuela,83,2021,Government of Canada,119,7,Canada,2876529.18,3.68000
CAR,17,2014,Government of Norway,12,17,Norway,4912782.42,1.30000
Jordan,73,2017,Sida,20,22,Sweden,1717580.99,2.63000
Sudan,15,2016,Government of Netherlands,11,16,Netherlands,6825000.00,0.40000
Syria,62,2020,Jersey,120,120,Jersey,258732.21,0.03000
Lebanon,71,2024,Government of Belgium,4,6,Belgium,4338394.79,1.36000
Myanmar,59,2014,Government of the United Kingdom (Former DFID),19,9,United Kingdom,1658503.40,0.40000
Burkina Faso (RhPF-WCA),85,2024,Government of Belgium,4,6,Belgium,3253796.10,3.46000
Syria,62,2017,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),98421.69,0.01000
Jordan,73,2020,Government of Cyprus,45,45,Cyprus,12500.00,0.02000
Afghanistan,23,2021,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),143760.10,0.01000
oPt,67,2017,Government of Italy,9,14,Italy,589622.64,0.12000
Ethiopia,53,2012,Government of Norway,12,17,Norway,820417.37,0.07000
South Sudan,19,2018,Government of Germany,7,11,Germany,21095700.00,1.70000
CAR,17,2015,Government of the United Kingdom (Former DFID),19,9,United Kingdom,9132207.27,2.42000
Syria,62,2025,Iceland,55,55,Iceland,486852.15,0.06000
Ukraine,81,2021,Estonia,49,49,Estonia,60975.61,0.01000
Colombia,52,2017,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),470.93,0.00000
CAR,17,2022,Government of Ireland,129,13,Ireland,2624250.00,0.70000
oPt,67,2026,Government of Spain,15,21,Spain,1170960.19,0.23000
Yemen,64,2024,Government of Netherlands,11,16,Netherlands,10718113.61,0.86000
DRC,24,2022,Government of Netherlands,11,16,Netherlands,7570115.00,0.50000
Ukraine,81,2024,IRISH AID,23,13,Ireland,5592841.16,0.50000
Venezuela,83,2021,Government of Switzerland,16,24,Switzerland,548847.42,0.70000
oPt,67,2007,Government of Spain,15,21,Spain,4000000.00,0.80000
Afghanistan,23,2024,Government of Australia,2,3,Australia,4003681.48,0.34000
DRC,24,2017,Government of Norway,12,17,Norway,2782622.85,0.18000
Lebanon,71,2022,Government of Italy,9,14,Italy,1543209.88,0.49000
Yemen,64,2017,Government of Canada,119,7,Canada,4670969.01,0.38000
Somalia,21,2018,Government of Ireland,129,13,Ireland,3635376.00,0.41000
Sudan,15,2011,Government of the United Kingdom (Former DFID),19,9,United Kingdom,78255000.00,4.63000
Syria,62,2026,Government of Poland,13,18,Poland,974817.22,0.13000
Ethiopia,53,2009,Government of Netherlands,11,16,Netherlands,15441176.00,1.38000
Ethiopia,53,2023,Government of Switzerland,16,24,Switzerland,2622000.71,0.23000
Ethiopia,53,2021,IRISH AID,23,13,Ireland,11399881.72,1.02000
Syria,62,2017,Government of Switzerland,16,24,Switzerland,993048.66,0.13000
Afghanistan,23,2025,Government of Luxembourg,10,15,Luxembourg,361944.16,0.03000
Lebanon,71,2018,Sida,20,22,Sweden,1893890.96,0.60000
Yemen,64,2024,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),44940.96,0.00000
CAR,17,2020,Government of Netherlands,11,16,Netherlands,1847735.10,0.49000
DRC,24,2018,Government of the United Kingdom (Former DFID),19,9,United Kingdom,36518818.50,2.41000
South Sudan,19,2021,Government of Ireland,129,13,Ireland,3028740.92,0.24000
Syria,62,2017,Jersey,120,120,Jersey,646830.53,0.09000
CAR,17,2023,Jersey Overseas Aid,205,120,Jersey,138913.88,0.04000
DRC,24,2025,IRISH AID,23,13,Ireland,4310344.83,0.28000
Syria Cross border,70,2024,Government of Italy,9,14,Italy,4721930.75,0.41000
Colombia,52,2016,Government of Spain,15,21,Spain,560538.12,3.71000
Somalia,21,2023,IRISH AID,23,13,Ireland,3270591.00,0.37000
Myanmar,59,2023,IRISH AID,23,13,Ireland,529661.02,0.13000
Lebanon,71,2017,Government of Belgium,4,6,Belgium,1768867.92,0.56000
Haiti (RhPF-LAC),88,2024,United States,102,102,United States,1500000.00,1.06000
Venezuela,83,2026,Government of Republic of Korea,14,63,Republic of Korea,1250000.00,1.60000
Venezuela,83,2020,Government of the United Kingdom (Former DFID),19,9,United Kingdom,2403204.27,3.08000
Yemen,64,2024,Government of Republic of Korea,14,63,Republic of Korea,3200000.00,0.26000
Sudan,15,2019,Government of Norway,12,17,Norway,575996.87,0.03000
Syria,62,2025,Government of Italy,9,14,Italy,4624277.46,0.61000
Colombia,52,2013,Government of Spain,15,21,Spain,662251.66,4.39000
Sudan,15,2025,Government of Netherlands,11,16,Netherlands,35494574.30,2.10000
Jordan,73,2016,Government of Netherlands,11,16,Netherlands,1109877.91,1.70000
Ethiopia,53,2023,Portugal,86,86,Portugal,53937.43,0.00000
Syria,62,2024,Government of Luxembourg,10,15,Luxembourg,656455.15,0.09000
oPt,67,2019,Sida,20,22,Sweden,2162956.46,0.43000
Myanmar,59,2016,Government of Denmark,5,8,Denmark,1421326.93,0.35000
Yemen,64,2022,Government of Denmark,5,8,Denmark,5336695.64,0.43000
