PooledFundId,AllocationSourceId,AllocationYear,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLocation1Budget
1,1,2015,Kunar,34.8465893,71.097317,258829.4748
1,1,2015,Kunduz,36.8599307,68.7154975,69841.688
1,1,2015,Nangarhar,34.1718313,70.6216794,674552.4692
1,1,2015,Paktika,32.2645386,68.5247149,69841.688
1,1,2015,Paktya,33.706199,69.3831079,69841.688
1,1,2015,Panjsher,35.883333,69.116667,79326.1513
1,1,2015,Parwan,34.9630977,68.8108849,68979.262
1,1,2015,Sar-e-Pul,35.6707473,66.0463534,52381.266
1,1,2015,Takhar,36.6698013,69.4784541,103468.893
1,1,2015,Uruzgan,32.9271287,66.1415263,69841.688
1,1,2016,Balkh,36.8909158,67.1894488,127051.693
1,1,2016,Hirat,34.341944,62.203056,127051.693
1,1,2016,Kabul,34.533333,69.166667,762310.158
1,1,2016,Kandahar,30.9960679,65.475736,127051.693
1,1,2016,Kunar,34.8465893,71.097317,128205.2172
1,1,2016,Laghman,34.6897687,70.1455805,77461.715
1,1,2016,Nangarhar,34.1718313,70.6216794,4728554.231
1,1,2017,Badghis,35.1671339,63.7695384,400000
1,1,2017,Balkh,36.8909158,67.1894488,66817.811
1,1,2017,Faryab,36.0795613,64.905955,125083.776
1,1,2017,Ghazni,33.55,68.416667,125083.776
1,1,2017,Hilmand,31.3636474,63.9586111,525351.8592
1,1,2017,Hirat,34.341944,62.203056,120397.4321
1,1,2017,Kabul,34.533333,69.166667,342236.2574
1,1,2017,Kandahar,30.9960679,65.475736,306136.1859
1,1,2017,Kunar,34.8465893,71.097317,250167.552
1,1,2017,Kunduz,36.8599307,68.7154975,393745.9978
1,1,2017,Laghman,34.6897687,70.1455805,34272.3033
1,1,2017,Logar,34.0145518,69.1923916,106624.9436
1,1,2017,Nangarhar,34.1718313,70.6216794,341577.6207
1,1,2017,Nimroz,31.0261488,62.4504154,10264.061
1,1,2017,Paktika,32.2645386,68.5247149,50033.5104
1,1,2017,Paktya,33.706199,69.3831079,100226.7165
1,1,2017,Takhar,36.6698013,69.4784541,25016.7552
1,1,2017,Uruzgan,32.9271287,66.1415263,675452.3904
1,1,2017,Wardak,34.3513494,68.2385339,26656.2359
1,1,2017,Zabul,32.1918782,67.1894488,75050.2656
1,1,2018,Badakhshan,36.7347725,70.8119953,241844.1771
1,1,2018,Badghis,35.1671339,63.7695384,7290050.882
1,1,2018,Baghlan,35.8042947,69.2877535,53837.7807
1,1,2018,Balkh,36.8909158,67.1894488,60789.2195
1,1,2018,Bamyan,34.9073296,67.1894488,20364.4839
1,1,2018,Daykundi,33.669495,66.0463534,27884.4585
1,1,2018,Farah,32.495328,62.2626627,175361.2785
1,1,2018,Faryab,36.0795613,64.905955,629369.9655
1,1,2018,Ghazni,33.55,68.416667,53837.7807
1,1,2018,Ghor,34.0995776,64.905955,1130032.57
1,1,2018,Hilmand,31.3636474,63.9586111,887283.1367
1,1,2018,Hirat,34.341944,62.203056,14392396.82
1,1,2018,Jawzjan,36.8969692,65.6658568,578940.9994
1,1,2018,Kabul,34.533333,69.166667,108417.3302
1,1,2018,Kandahar,30.9960679,65.475736,815748.5405
