PooledFundId,AllocationSourceId,AllocationYear,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLocation1Budget,FundType
3,3,2021,Cunene,-16.5568536,15.7867319,,1
3,3,2021,Huambo,-12.6076318,15.7411039,,1
3,3,2021,Namibe,-15.2669341,12.7064561,,1
7,4,2015,Chittagong,22.68394485,91.78913898,,1
7,4,2018,Chittagong,22.68394485,91.78913898,,1
7,4,2019,Chittagong,22.68394485,91.78913898,,1
7,3,2016,Chittagong,22.68394485,91.78913898,,1
7,3,2017,Chittagong,22.68394485,91.78913898,,1
7,3,2019,Mymensingh,24.8386014,90.4112695,,1
7,3,2019,Rangpur,25.833558,88.9939966,,1
7,3,2020,Barisal,22.24113425,90.43569764,,1
7,3,2020,Khulna,22.8083689,89.4426887,,1
7,3,2022,Mymensingh,24.8386014,90.4112695,,1
7,3,2022,Sylhet,24.59107805,91.71773617,,1
10,3,2014,Beni,-14,-65,,1
13,4,2014,Centre,19.00959214,-71.98452022,,1
13,4,2014,Centre-Ouest,11.9067933,-2.304480066,,1
13,4,2014,Est,12.2527495,0.8736106,,1
13,4,2014,Nord,13.4526455,-2.227736,,1
13,4,2014,Sahel,14.0279165,-0.771777567,,1
13,4,2014,Sud-Ouest,10.38692085,-3.283188628,,1
13,4,2019,Centre,19.00959214,-71.98452022,,1
13,4,2019,Centre-Nord,13.23871,-1.034983151,,1
13,4,2019,Nord,13.4526455,-2.227736,,1
13,4,2019,Sahel,14.0279165,-0.771777567,,1
13,4,2021,Boucle du Mouhoun,12.4777805,-3.587957131,,1
13,4,2021,Centre,19.00959214,-71.98452022,,1
13,4,2021,Centre-Est,11.734933,-0.292105568,,1
13,4,2021,Est,12.2527495,0.8736106,,1
13,4,2021,Nord,13.4526455,-2.227736,,1
13,4,2022,Est,12.2527495,0.8736106,,1
13,4,2022,Sahel,14.0279165,-0.771777567,,1
13,3,2018,Centre,19.00959214,-71.98452022,,1
13,3,2018,Centre-Nord,13.23871,-1.034983151,,1
13,3,2018,Nord,13.4526455,-2.227736,,1
13,3,2018,Sahel,14.0279165,-0.771777567,,1
13,3,2020,Boucle du Mouhoun,12.4777805,-3.587957131,,1
13,3,2020,Centre,19.00959214,-71.98452022,,1
13,3,2020,Centre-Nord,13.23871,-1.034983151,,1
13,3,2020,Est,12.2527495,0.8736106,,1
13,3,2020,Nord,13.4526455,-2.227736,,1
13,3,2020,Sahel,14.0279165,-0.771777567,,1
13,3,2021,Centre,19.00959214,-71.98452022,,1
13,3,2021,Est,12.2527495,0.8736106,,1
13,3,2021,Nord,13.4526455,-2.227736,,1
13,3,2021,Sahel,14.0279165,-0.771777567,,1
13,3,2022,Nord,13.4526455,-2.227736,,1
13,3,2022,Sahel,14.0279165,-0.771777567,,1
14,4,2015,Makamba,-4.1978315,29.8073996,,1
14,4,2015,Rutana,-3.8618714,30.0676979,,1
14,4,2016,Bujumbura Mairie,-3.3493959,29.3631843,,1
14,4,2016,Bujumbura Rural,-3.4759817,29.4535702,,1
14,4,2016,Cibitoke,-2.8477341,29.26166199,,1
14,4,2016,Kirundo,-2.545918,30.10227416,,1
14,4,2016,Makamba,-4.1978315,29.8073996,,1
14,4,2016,Rumonge,-3.87550755,29.47062071,,1
14,4,2018,Bujumbura Rural,-3.4759817,29.4535702,,1
14,4,2018,Kirundo,-2.545918,30.10227416,,1
14,4,2018,Makamba,-4.1978315,29.8073996,,1
14,4,2018,Muyinga,-2.7106551,30.3601342,,1
14,4,2018,Rutana,-3.8618714,30.0676979,,1
14,4,2018,Ruyigi,-3.5172574,30.2480394,,1
14,4,2020,Bubanza,-3.1112787,29.3828358,,1
14,4,2020,Bujumbura Mairie,-3.3493959,29.3631843,,1
14,4,2020,Bujumbura Rural,-3.4759817,29.4535702,,1
14,4,2020,Cibitoke,-2.8477341,29.26166199,,1
14,4,2020,Makamba,-4.1978315,29.8073996,,1
14,4,2020,Muyinga,-2.7106551,30.3601342,,1
14,4,2020,Rumonge,-3.87550755,29.47062071,,1
14,4,2020,Ruyigi,-3.5172574,30.2480394,,1
14,3,2014,Bujumbura Rural,-3.4759817,29.4535702,,1
14,3,2017,Bubanza,-3.1112787,29.3828358,,1
14,3,2017,Bujumbura Mairie,-3.3493959,29.3631843,,1
14,3,2017,Bujumbura Rural,-3.4759817,29.4535702,,1
14,3,2017,Bururi,-3.8581592,29.584379,,1
14,3,2017,Cankuzo,-3.1921908,30.46798172,,1
14,3,2017,Cibitoke,-2.8477341,29.26166199,,1
14,3,2017,Gitega,-3.4284953,29.9249718,,1
14,3,2017,Kayanza,-3.0083103,29.6195628,,1
14,3,2017,Kirundo,-2.545918,30.10227416,,1
14,3,2017,Makamba,-4.1978315,29.8073996,,1
14,3,2017,Muramvya,-3.2751181,29.6307855,,1
14,3,2017,Muyinga,-2.7106551,30.3601342,,1
14,3,2017,Mwaro,-3.4650043,29.6708508,,1
14,3,2017,Ngozi,-2.8820728,29.9422406,,1
14,3,2017,Rumonge,-3.87550755,29.47062071,,1
14,3,2017,Rutana,-3.8618714,30.0676979,,1
14,3,2017,Ruyigi,-3.5172574,30.2480394,,1
14,3,2018,Cankuzo,-3.1921908,30.46798172,,1
14,3,2018,Makamba,-4.1978315,29.8073996,,1
14,3,2018,Muyinga,-2.7106551,30.3601342,,1
14,3,2018,Ngozi,-2.8820728,29.9422406,,1
14,3,2018,Rumonge,-3.87550755,29.47062071,,1
14,3,2018,Ruyigi,-3.5172574,30.2480394,,1
14,3,2019,Bubanza,-3.1112787,29.3828358,,1
14,3,2019,Bujumbura Rural,-3.4759817,29.4535702,,1
14,3,2019,Cibitoke,-2.8477341,29.26166199,,1
14,3,2019,Makamba,-4.1978315,29.8073996,,1
14,3,2019,Rumonge,-3.87550755,29.47062071,,1
14,3,2021,Bujumbura Mairie,-3.3493959,29.3631843,,1
14,3,2021,Makamba,-4.1978315,29.8073996,,1
14,3,2021,Rumonge,-3.87550755,29.47062071,,1
14,3,2022,Kirundo,-2.545918,30.10227416,,1
14,3,2022,Muyinga,-2.7106551,30.3601342,,1
14,3,2022,Ngozi,-2.8820728,29.9422406,,1
16,4,2014,North,34.4333,35.85,,1
16,4,2017,Nord,13.4526455,-2.227736,,1
16,4,2018,Nord,13.4526455,-2.227736,,1
16,4,2019,Est,12.2527495,0.8736106,,1
16,4,2019,Nord,13.4526455,-2.227736,,1
16,4,2019,Nord-Ouest,6.3775255,10.3864171,,1
16,4,2019,North,34.4333,35.85,,1
16,4,2019,North-West,,,,1
16,4,2019,Ouest,18.57927007,-72.4276818,,1
16,4,2019,South,33.55,35.3833,,1
16,4,2019,South-West,,,,1
16,4,2019,Sud,2.7497556,11.4860732,,1
16,4,2019,Sud-Ouest,10.38692085,-3.283188628,,1
16,4,2019,West,5.5211184,10.6528684,,1
16,4,2021,Est,12.2527495,0.8736106,,1
16,4,2021,Littoral,6.2926138,2.4407501,,1
16,4,2021,North,34.4333,35.85,,1
16,4,2021,North-West,,,,1
16,4,2021,South,33.55,35.3833,,1
16,4,2021,South-West,,,,1
16,4,2021,West,5.5211184,10.6528684,,1
16,3,2014,East,3.9894393,14.178373,,1
16,3,2015,North,34.4333,35.85,,1
16,3,2016,North,34.4333,35.85,,1
16,3,2018,Est,12.2527495,0.8736106,,1
16,3,2018,North,34.4333,35.85,,1
16,3,2018,North-West,,,,1
16,3,2018,South,33.55,35.3833,,1
16,3,2018,South-West,,,,1
16,3,2018,West,5.5211184,10.6528684,,1
16,3,2020,Est,12.2527495,0.8736106,,1
