PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
71,Lebanon,LBN71,ERF/3604/77981/85225/2026,2026,Sida,20,22,Sweden,SE,3/16/2026 12:00:00 AM,2148458.48,2/2/2026 12:00:00 AM,3/30/2026 12:00:00 AM,2132616.25,1/1/0001 12:00:00 AM,SEK,8.81,SEK,9.38,20000000,19999675.21,0
71,Lebanon,LBN71,ERF/3604/78046/85467/2026,2026,Government of Italy,9,14,Italy,IT,3/18/2026 12:00:00 AM,2306805.07,3/18/2026 12:00:00 AM,4/13/2026 12:00:00 AM,2290950.74,1/1/0001 12:00:00 AM,EUR,0.87,EUR,0.87,2000000,2000000,0
71,Lebanon,LBN71,ERF/3604/78037/85466/2026,2026,Government of Switzerland,16,24,Switzerland,CH,3/18/2026 12:00:00 AM,1915708.81,3/10/2026 12:00:00 AM,3/30/2026 12:00:00 AM,1915708.81,1/1/0001 12:00:00 AM,CHF,0.77,CHF,0.78,1500000,1500000,0
71,Lebanon,LBN71,ERF/3604/78042/85438/2026,2026,Government of Canada,119,7,Canada,CA,3/27/2026 12:00:00 AM,1102941.18,3/12/2026 12:00:00 AM,7/14/2026 12:00:00 AM,1063165.43,1/1/0001 12:00:00 AM,CAD,1.37,CAD,1.41,1500000,1500126.42,0
71,Lebanon,LBN71,ERF/3604/78112/85600/2026,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),UNF,1/20/2026 12:00:00 AM,7610.16,4/24/2026 12:00:00 AM,5/28/2026 12:00:00 AM,7610.16,1/1/0001 12:00:00 AM,USD,1,USD,1,7610.16,7610.16,0
71,Lebanon,LBN71,ERF/3604/78164/85691/2026,2026,Government of Luxembourg,10,15,Luxembourg,LU,6/25/2026 12:00:00 AM,345622.12,6/8/2026 12:00:00 AM,6/17/2026 12:00:00 AM,345622.12,1/1/0001 12:00:00 AM,EUR,0.86,EUR,0.87,300000,300000,0
71,Lebanon,LBN71,ERF/3604/77838/84978/2025,2026,Government of Switzerland,16,24,Switzerland,CH,11/27/2025 12:00:00 AM,1106382.98,11/25/2025 12:00:00 AM,12/4/2025 12:00:00 AM,1096774.19,1/1/0001 12:00:00 AM,CHF,0.8,CHF,0.81,884000,884000,0
71,Lebanon,LBN71,ERF/3604/78080/85536/2026,2026,Monaco,76,76,Monaco,MC,4/13/2026 12:00:00 AM,114547.54,4/14/2026 12:00:00 AM,5/5/2026 12:00:00 AM,116959.06,1/1/0001 12:00:00 AM,EUR,0.87,EUR,0.85,100000,100000,0
71,Lebanon,LBN71,ERF/3604/78081/85537/2026,2026,Croatia,1038,156,Croatia,HR,4/15/2026 12:00:00 AM,117096.02,4/15/2026 12:00:00 AM,6/3/2026 12:00:00 AM,116279.07,1/1/0001 12:00:00 AM,USD,1,USD,1.01,117096.02,117093.02,0
71,Lebanon,LBN71,ERF/3604/78126/85643/2026,2026,Government of Canada,119,7,Canada,CA,6/8/2026 12:00:00 AM,722021.66,5/8/2026 12:00:00 AM,7/14/2026 12:00:00 AM,710211.9,1/1/0001 12:00:00 AM,CAD,1.37,CAD,1.41,1000000,999978.36,0
